id,dataset,headline,keywords
1,1,"Program Makan Bergizi Gratis Jadi “Raksasa Anggar”","raksasa anggaran, anggaran, program"
2,1,"Makan Bergizi Gratis Habiskan Rp 13,2 T, Serap Tenaga Kerja 290 Ribu Orang","13,2 t, tenaga kerja, serap, 290 ribu"
3,1,"Usul Purbaya Soal Serapan Anggaran Makan Bergizi Gratis Rendah","purbaya, serapan rendah, usul"
4,1,"Anggaran buat Makan Bergizi Gratis Rp 1,2 Triliun/Hari","1,2 triliun, per hari, transparan, biaya"
5,1,"1 Kecamatan di Sulut Tolak MBG Imbas Isu Food Tray Kandung Minyak Babi","sulut, tolak, minyak babi, food tray"
6,1,"Badan Gizi Dapat Anggaran Rp268 T di 2026, Ini Rinciannya","268 t, 2026, rincian anggar, bgn"
7,1,"MUI Minta Program MBG Dihentikan Jika Ompreng Terbukti Tak Halal","mui, hentikan, ompreng, isu halal,racun"
8,1,"Wadah Makan Program MBG Impor dari China dan Mengandung Minyak Babi, Ini Penjelasan BGN","impor china, minyak babi, wadah makan, klarifikasi"
9,1,"Makan Bergizi Gratis Boleh Tak Halal, Ini Syaratnya","boleh tak halal, syarat halal, regulasi"
10,1,"Blak-blakan Bos Badan Gizi soal Alasan Nampan MBG Diimpor dari China","nampan, impor china, bos badan gizi, alasan"